0,1
e 1,"Minimum wall thickness at thin end of hub [mm], Figures 6, 7, 13, 14"
e 2,"Wall thickness at thick end of hub [mm], Figures 6, 7, 13, 14"
"e D , e E","Wall thickness of equivalent cylinder for load limit calculations, for flexibility calculations [mm], Formulae (17) and (18)"
"e F , e L","Effective axial thickness of flange, loose flange [mm], Formulae (10), (13) and (16)"
e Fb,"Thickness of flange ring at diameter d 3 (bolt position) [mm], Formula (5)"
e Ft,"Thickness of flange ring at diameter d Ge (gasket force position), relevant for thermal expansion [mm], Formula (98)"
e G ( Q G0 ),"Initial compressed gasket thickness of gasket under contact pressure Q G0 [mm], Formulae (106), (121) can be obtained from the tests according to EN 13555"
e G(A),"Compressed gasket thickness of gasket after all the situations (including plastic deformation) [mm], Formulae (106), (121) and Annex H"
e Gt,Initial theoretical uncompressed thickness of gasket [mm]
"e P , e Q","Part of flange thickness with ( e P ), without (e Q ) radial pressure loading [mm], Figures 6 to 14, such that e P +e Q = e F"
e S,"Thickness of connected shell [mm], Figures 6 to 10, 12 to 14"
e W,"Washer thickness [mm], Figure 1, 2"
e X,"Flange thickness at weak section [mm], Figure 11"
"f B , f E , f F , f L , f S, f W","Nominal design stress [MPa] of the part designated by the subscript, at design temperature [°C] or [K], as defined and used in pressure vessel codes (see Formulae (123), (127), (130) to (133), (140), (145), (146), (148), (150) and (151))"
"h G , h H , h L","Lever arms [mm], Figure 1, Formulae (81) to (83) and (87) to (89)"
"h P , h Q , h R , h S , h T","Lever arm corrections [mm], Formulae (77), (79) and (80), (31) and (37), (29), (30)"
"j M , j S","Sign number for moment, shear force (+1 or 1), Formulae (136) and (137)"
"k Q , k R , k M , k S","Correction factors, Formulae (32), (33), (138), (139)"
"l B , l s","Bolt axial dimensions [mm], Figure 2, Formulae (98) and (42)"
l e,l e = l B - l S
l H,"Length of hub [mm], Figures 6, 7, 13, 14, Formulae (17), (18)"
m,"tightness factor for subsequent conditions ( I>0 ) [-], (Annex G)"
n B,"Number of bolts, Formulae (3), (6), (41), (42)"
p B,"Pitch between bolts [mm], Formula (3)"
p t,"Pitch of bolt thread [mm], Table A.1"
